OrderID,OrderDate,CustomerID,ProductName,Category,Quantity,UnitPrice,Revenue,Region,MarketingChannel,PaymentMethod
80,2025-09-28,1078,Yoga Mat,Sports,2,247.31,494.62,North America,Referral,PayPal
81,2025-04-21,1358,Laptop Backpack,Accessories,3,100.54,301.62,Australia,Google Ads,PayPal
82,2024-11-14,1055,LED Desk Lamp,Furniture,1,465.87,465.87,Australia,Organic Search,Bank Transfer
83,2024-07-22,1038,LED Desk Lamp,Furniture,2,68.91,137.82,Asia,Referral,Credit Card
84,2025-08-02,1400,Wireless Headphones,Electronics,3,275.72,827.16,Asia,Google Ads,Apple Pay
85,2024-01-13,1434,Water Bottle,Sports,4,70.66,282.64,Asia,Organic Search,PayPal
86,2025-03-21,1090,Office Chair,Furniture,3,315.64,946.92,Australia,Organic Search,Bank Transfer
87,2025-03-22,1422,LED Desk Lamp,Furniture,3,174.71,524.13,Europe,Google Ads,Apple Pay
88,2025-04-06,1124,Denim Jacket,Fashion,5,312.96,1564.8,Africa,Email,Credit Card
89,2025-05-21,1435,Bluetooth Speaker,Electronics,2,254.02,508.04,Asia,Email,Apple Pay
90,2024-10-13,1450,LED Desk Lamp,Furniture,3,286.78,860.34,Australia,Meta Ads,Credit Card
91,2024-09-04,1368,Water Bottle,Sports,4,286.48,1145.92,Europe,Organic Search,Bank Transfer
92,2025-04-03,1405,Wireless Headphones,Electronics,1,161.23,161.23,Africa,Meta Ads,Apple Pay
93,2025-11-10,1297,Bluetooth Speaker,Electronics,4,285.67,1142.68,Asia,Organic Search,Apple Pay
94,2024-12-26,1359,Denim Jacket,Fashion,3,167.18,501.54,Europe,Google Ads,PayPal
95,2024-11-19,1061,Office Chair,Furniture,2,111.94,223.88,Africa,Email,Apple Pay
96,2024-04-12,1426,Yoga Mat,Sports,3,129.19,387.57,Europe,Email,Credit Card
97,2025-12-26,1273,Running Shoes,Fashion,3,41.85,125.55,North America,Referral,Apple Pay
98,2025-12-15,1483,Running Shoes,Fashion,4,69.24,276.96,North America,Referral,Apple Pay
99,2025-04-25,1245,Denim Jacket,Fashion,3,108.49,325.47,North America,Email,Bank Transfer
100,2024-04-26,1420,Smart Watch,Electronics,4,256.04,1024.16,Australia,Google Ads,PayPal
101,2024-06-01,1415,LED Desk Lamp,Furniture,3,60.89,182.67,Europe,Google Ads,Bank Transfer
102,2025-09-12,1305,LED Desk Lamp,Furniture,2,392.33,784.66,Africa,Organic Search,Bank Transfer
103,2024-10-31,1440,LED Desk Lamp,Furniture,4,166.58,666.32,Australia,Google Ads,Credit Card
104,2024-07-31,1320,Yoga Mat,Sports,3,337.01,1011.03,Europe,Meta Ads,PayPal
105,2025-07-19,1038,Running Shoes,Fashion,1,216.09,216.09,Australia,Organic Search,Apple Pay
106,2024-02-03,1118,Laptop Backpack,Accessories,3,357.43,1072.29,Africa,Google Ads,PayPal
107,2024-09-27,1403,LED Desk Lamp,Furniture,2,224.07,448.14,Australia,Meta Ads,PayPal
108,2024-09-29,1423,Running Shoes,Fashion,1,48.63,48.63,Asia,Referral,Apple Pay
109,2025-03-25,1063,Denim Jacket,Fashion,3,355.87,1067.61,Asia,Referral,Bank Transfer
110,2025-03-24,1041,LED Desk Lamp,Furniture,1,446.92,446.92,Asia,Referral,Apple Pay
111,2024-01-27,1046,Yoga Mat,Sports,5,301.82,1509.1,North America,Email,Credit Card
112,2024-06-28,1240,Office Chair,Furniture,4,459.71,1838.84,Europe,Referral,Bank Transfer
113,2025-10-12,1416,Denim Jacket,Fashion,1,245.6,245.6,Africa,Email,Apple Pay
114,2025-11-17,1053,Running Shoes,Fashion,3,217.59,652.77,Africa,Email,Bank Transfer
115,2025-07-17,1018,Denim Jacket,Fashion,1,170.97,170.97,Asia,Google Ads,Bank Transfer
116,2025-06-10,1422,Wireless Headphones,Electronics,5,241.75,1208.75,North America,Meta Ads,Apple Pay
117,2025-09-29,1387,Denim Jacket,Fashion,4,384.8,1539.2,Europe,Email,PayPal
118,2024-10-21,1224,Denim Jacket,Fashion,1,33.86,33.86,Australia,Meta Ads,PayPal
119,2024-11-14,1282,Wireless Headphones,Electronics,5,215.84,1079.2,Europe,Google Ads,Bank Transfer
120,2024-04-30,1331,Running Shoes,Fashion,4,467.67,1870.68,Asia,Referral,Apple Pay
121,2025-03-01,1427,Denim Jacket,Fashion,4,136.99,547.96,Australia,Meta Ads,Bank Transfer
122,2024-07-14,1471,LED Desk Lamp,Furniture,5,378.22,1891.1,Europe,Google Ads,Apple Pay
123,2025-02-28,1174,Office Chair,Furniture,3,413.86,1241.58,Asia,Email,Bank Transfer
124,2024-06-01,1228,Office Chair,Furniture,4,185.66,742.64,Australia,Referral,Bank Transfer
125,2025-04-11,1477,Bluetooth Speaker,Electronics,2,490.77,981.54,Europe,Referral,Bank Transfer
126,2024-08-27,1438,Water Bottle,Sports,1,172.72,172.72,Africa,Organic Search,Bank Transfer
127,2025-11-10,1405,Running Shoes,Fashion,4,483.12,1932.48,Europe,Referral,Apple Pay
128,2024-04-12,1447,Denim Jacket,Fashion,1,272.46,272.46,Africa,Google Ads,PayPal
129,2025-02-23,1445,Running Shoes,Fashion,1,245.36,245.36,Asia,Email,Bank Transfer
130,2025-10-27,1041,Bluetooth Speaker,Electronics,5,202.4,1012.0,Asia,Organic Search,Credit Card
131,2025-09-24,1035,Yoga Mat,Sports,3,498.76,1496.28,North America,Organic Search,Credit Card
132,2025-10-10,1360,Smart Watch,Electronics,4,99.86,399.44,Asia,Google Ads,Credit Card
133,2024-11-28,1407,Wireless Headphones,Electronics,3,192.06,576.18,Africa,Meta Ads,PayPal
134,2025-06-27,1210,LED Desk Lamp,Furniture,2,101.59,203.18,North America,Referral,Bank Transfer
135,2025-09-26,1349,Yoga Mat,Sports,4,458.16,1832.64,Europe,Meta Ads,Bank Transfer
136,2025-10-15,1130,Denim Jacket,Fashion,3,340.08,1020.24,Africa,Email,PayPal
137,2024-03-16,1226,Bluetooth Speaker,Electronics,5,163.59,817.95,Africa,Email,Bank Transfer
138,2024-11-05,1101,Water Bottle,Sports,4,71.19,284.76,Africa,Referral,Apple Pay
139,2025-08-11,1151,Laptop Backpack,Accessories,1,489.41,489.41,Africa,Email,Credit Card
140,2025-08-02,1442,Wireless Headphones,Electronics,5,377.68,1888.4,Asia,Meta Ads,Apple Pay
141,2024-08-12,1325,Yoga Mat,Sports,5,140.3,701.5,Europe,Google Ads,Credit Card
142,2024-11-12,1403,Denim Jacket,Fashion,1,298.2,298.2,Europe,Google Ads,Apple Pay
143,2024-11-30,1382,Water Bottle,Sports,2,116.38,232.76,Australia,Email,Apple Pay
144,2024-06-17,1131,Denim Jacket,Fashion,3,378.35,1135.05,Asia,Google Ads,Bank Transfer
145,2024-03-18,1072,Yoga Mat,Sports,4,484.29,1937.16,Australia,Email,Credit Card
146,2025-02-08,1007,Laptop Backpack,Accessories,5,79.32,396.6,Asia,Email,Bank Transfer
147,2025-10-15,1481,Bluetooth Speaker,Electronics,1,343.92,343.92,Africa,Google Ads,Apple Pay
148,2025-09-16,1113,Smart Watch,Electronics,4,456.51,1826.04,Asia,Organic Search,Credit Card
149,2024-05-23,1023,Wireless Headphones,Electronics,3,498.05,1494.15,North America,Google Ads,PayPal
150,2025-07-04,1069,Water Bottle,Sports,4,198.09,792.36,Australia,Organic Search,PayPal
151,2025-02-28,1335,Smart Watch,Electronics,4,315.51,1262.04,Asia,Google Ads,Apple Pay
152,2024-08-10,1227,Denim Jacket,Fashion,2,430.62,861.24,North America,Email,Apple Pay
153,2024-03-03,1203,Laptop Backpack,Accessories,2,484.74,969.48,Africa,Google Ads,PayPal
154,2025-10-19,1327,LED Desk Lamp,Furniture,1,44.28,44.28,Asia,Meta Ads,PayPal
155,2025-08-01,1105,Smart Watch,Electronics,5,119.44,597.2,Europe,Meta Ads,Apple Pay
156,2024-05-31,1403,LED Desk Lamp,Furniture,1,153.09,153.09,Europe,Meta Ads,Apple Pay
157,2024-06-27,1056,Wireless Headphones,Electronics,2,27.13,54.26,Europe,Referral,Apple Pay
158,2024-01-17,1089,Laptop Backpack,Accessories,1,80.84,80.84,Africa,Referral,Credit Card
159,2024-03-06,1243,Denim Jacket,Fashion,3,266.35,799.05,North America,Organic Search,PayPal
160,2025-09-21,1022,Office Chair,Furniture,3,239.86,719.58,North America,Google Ads,Bank Transfer
161,2025-02-15,1218,Smart Watch,Electronics,4,361.95,1447.8,Africa,Google Ads,Credit Card
162,2024-11-25,1311,Running Shoes,Fashion,1,80.57,80.57,Australia,Referral,Apple Pay
163,2025-01-25,1305,Office Chair,Furniture,3,237.78,713.34,Australia,Organic Search,Credit Card
164,2025-12-19,1058,Office Chair,Furniture,2,226.43,452.86,Europe,Organic Search,Apple Pay
165,2025-04-09,1204,Water Bottle,Sports,1,170.02,170.02,Asia,Email,Apple Pay
166,2024-06-05,1351,Denim Jacket,Fashion,1,63.79,63.79,North America,Google Ads,Bank Transfer
167,2024-04-08,1381,Bluetooth Speaker,Electronics,2,287.06,574.12,Australia,Referral,Apple Pay
168,2025-11-17,1062,Water Bottle,Sports,3,439.33,1317.99,Africa,Google Ads,Apple Pay
169,2025-09-06,1159,Bluetooth Speaker,Electronics,1,297.4,297.4,Europe,Meta Ads,Bank Transfer
170,2024-08-17,1433,Smart Watch,Electronics,3,425.78,1277.34,Asia,Google Ads,Apple Pay
171,2025-08-10,1115,Water Bottle,Sports,5,487.78,2438.9,Australia,Referral,Credit Card
172,2025-09-15,1475,Laptop Backpack,Accessories,1,106.6,106.6,Asia,Email,Apple Pay
173,2024-01-07,1092,Running Shoes,Fashion,5,335.53,1677.65,North America,Meta Ads,Credit Card
174,2024-04-03,1382,Office Chair,Furniture,2,200.57,401.14,Africa,Email,PayPal
175,2025-01-13,1159,Bluetooth Speaker,Electronics,5,306.19,1530.95,North America,Meta Ads,PayPal
176,2025-09-24,1025,Smart Watch,Electronics,3,232.69,698.07,Africa,Organic Search,Bank Transfer
177,2025-02-28,1139,Yoga Mat,Sports,5,74.63,373.15,Africa,Google Ads,Apple Pay
178,2025-11-25,1347,LED Desk Lamp,Furniture,4,272.93,1091.72,Asia,Google Ads,PayPal
179,2025-02-08,1306,Wireless Headphones,Electronics,1,118.12,118.12,Europe,Meta Ads,Apple Pay
180,2024-10-23,1167,Smart Watch,Electronics,1,258.74,258.74,Africa,Meta Ads,PayPal
181,2025-01-24,1272,Yoga Mat,Sports,5,288.19,1440.95,Asia,Google Ads,Bank Transfer
182,2024-02-13,1223,Wireless Headphones,Electronics,4,462.16,1848.64,Asia,Referral,Bank Transfer
183,2025-08-10,1207,Water Bottle,Sports,3,75.28,225.84,North America,Email,PayPal
184,2025-09-24,1235,Bluetooth Speaker,Electronics,1,229.62,229.62,North America,Meta Ads,Bank Transfer
185,2025-08-26,1205,Office Chair,Furniture,1,209.97,209.97,Asia,Email,PayPal
186,2024-12-07,1398,Running Shoes,Fashion,1,265.03,265.03,North America,Referral,PayPal
187,2024-12-23,1179,Running Shoes,Fashion,2,69.35,138.7,Asia,Meta Ads,PayPal
188,2025-09-08,1078,Smart Watch,Electronics,2,476.62,953.24,Africa,Organic Search,Bank Transfer
189,2025-11-28,1473,LED Desk Lamp,Furniture,5,175.14,875.7,Asia,Meta Ads,Bank Transfer
190,2024-03-10,1240,Denim Jacket,Fashion,3,402.24,1206.72,Australia,Google Ads,Apple Pay
191,2025-06-03,1037,Laptop Backpack,Accessories,4,236.92,947.68,North America,Email,Apple Pay
192,2024-03-19,1330,Smart Watch,Electronics,5,305.16,1525.8,Africa,Organic Search,Credit Card
193,2025-04-05,1465,LED Desk Lamp,Furniture,2,174.33,348.66,Africa,Referral,PayPal
194,2024-03-04,1230,Smart Watch,Electronics,3,491.55,1474.65,North America,Referral,PayPal
195,2024-02-10,1126,Denim Jacket,Fashion,4,271.55,1086.2,Australia,Meta Ads,Apple Pay
196,2025-01-16,1469,Laptop Backpack,Accessories,4,216.21,864.84,Asia,Referral,Credit Card
197,2025-10-08,1331,Bluetooth Speaker,Electronics,1,178.25,178.25,Australia,Organic Search,Apple Pay
198,2024-09-15,1370,LED Desk Lamp,Furniture,2,180.01,360.02,Australia,Meta Ads,Apple Pay
199,2024-11-13,1495,Water Bottle,Sports,2,305.62,611.24,North America,Email,Bank Transfer
200,2025-10-20,1405,Bluetooth Speaker,Electronics,2,341.66,683.32,Australia,Google Ads,Bank Transfer
201,2025-06-04,1185,Wireless Headphones,Electronics,3,168.26,504.78,Europe,Email,Bank Transfer
202,2024-07-15,1115,Running Shoes,Fashion,2,57.04,114.08,North America,Referral,Credit Card
203,2025-11-08,1172,LED Desk Lamp,Furniture,2,306.68,613.36,Europe,Meta Ads,PayPal
204,2025-12-10,1394,LED Desk Lamp,Furniture,2,366.17,732.34,North America,Organic Search,Apple Pay
205,2025-11-23,1368,Yoga Mat,Sports,4,313.09,1252.36,Africa,Meta Ads,PayPal
206,2024-11-12,1494,Denim Jacket,Fashion,2,196.56,393.12,Australia,Organic Search,Bank Transfer
207,2024-10-15,1398,Water Bottle,Sports,5,273.18,1365.9,Europe,Meta Ads,PayPal
208,2024-09-13,1026,Denim Jacket,Fashion,3,286.18,858.54,North America,Referral,Credit Card
209,2024-10-18,1042,Running Shoes,Fashion,3,235.67,707.01,Australia,Meta Ads,Bank Transfer
210,2024-04-03,1484,Yoga Mat,Sports,4,444.62,1778.48,North America,Organic Search,Credit Card
211,2025-02-09,1257,Bluetooth Speaker,Electronics,2,205.36,410.72,North America,Email,PayPal
212,2024-01-29,1163,Smart Watch,Electronics,3,399.86,1199.58,Europe,Google Ads,Apple Pay
213,2025-04-28,1356,Running Shoes,Fashion,4,235.33,941.32,North America,Google Ads,Credit Card
214,2024-09-19,1110,Running Shoes,Fashion,5,471.31,2356.55,Australia,Referral,Bank Transfer
215,2024-04-23,1397,Laptop Backpack,Accessories,2,164.55,329.1,North America,Meta Ads,Bank Transfer
216,2025-10-16,1406,LED Desk Lamp,Furniture,4,50.15,200.6,Africa,Referral,Credit Card
217,2025-10-09,1263,LED Desk Lamp,Furniture,2,364.9,729.8,Asia,Organic Search,Credit Card
218,2025-09-21,1180,Yoga Mat,Sports,5,219.95,1099.75,North America,Referral,Apple Pay
219,2024-03-10,1488,Office Chair,Furniture,5,263.52,1317.6,Australia,Referral,Credit Card
220,2025-02-03,1447,Denim Jacket,Fashion,1,325.12,325.12,Asia,Email,Credit Card
221,2024-12-31,1403,Smart Watch,Electronics,3,135.74,407.22,North America,Referral,Apple Pay
222,2024-05-16,1022,Bluetooth Speaker,Electronics,5,182.5,912.5,Europe,Organic Search,Bank Transfer
223,2025-10-08,1093,Running Shoes,Fashion,1,363.7,363.7,Africa,Google Ads,Apple Pay
224,2024-07-25,1022,Yoga Mat,Sports,1,171.49,171.49,Asia,Referral,Bank Transfer
225,2025-07-10,1242,Laptop Backpack,Accessories,1,381.58,381.58,Europe,Email,Apple Pay
226,2024-02-18,1443,Bluetooth Speaker,Electronics,3,79.75,239.25,Asia,Organic Search,Bank Transfer
227,2025-03-26,1458,Water Bottle,Sports,3,487.39,1462.17,Africa,Organic Search,Apple Pay
228,2025-06-15,1136,Smart Watch,Electronics,4,57.88,231.52,Australia,Meta Ads,Apple Pay
229,2024-11-24,1052,Smart Watch,Electronics,3,337.24,1011.72,Asia,Organic Search,Bank Transfer
230,2024-06-19,1353,Denim Jacket,Fashion,3,234.62,703.86,Asia,Referral,Bank Transfer
231,2024-10-08,1327,Wireless Headphones,Electronics,1,342.17,342.17,Africa,Email,PayPal
232,2024-02-01,1073,LED Desk Lamp,Furniture,4,36.7,146.8,North America,Meta Ads,Apple Pay
233,2025-01-05,1196,LED Desk Lamp,Furniture,1,310.45,310.45,Africa,Email,Apple Pay
234,2025-03-30,1390,Smart Watch,Electronics,5,86.09,430.45,Asia,Organic Search,Apple Pay
235,2025-10-27,1142,Yoga Mat,Sports,1,32.44,32.44,Europe,Organic Search,Bank Transfer
236,2025-07-29,1060,Laptop Backpack,Accessories,3,357.94,1073.82,Europe,Referral,Apple Pay
237,2025-12-11,1469,Denim Jacket,Fashion,2,78.87,157.74,North America,Organic Search,PayPal
238,2025-12-31,1227,Smart Watch,Electronics,3,340.56,1021.68,North America,Referral,Apple Pay
239,2024-11-03,1435,Running Shoes,Fashion,2,400.97,801.94,Australia,Meta Ads,Credit Card
240,2024-07-24,1405,Running Shoes,Fashion,2,399.38,798.76,North America,Email,Apple Pay
241,2025-04-23,1411,Office Chair,Furniture,2,313.74,627.48,North America,Google Ads,Apple Pay
242,2025-02-11,1367,Denim Jacket,Fashion,5,217.18,1085.9,Africa,Referral,Credit Card
243,2024-05-08,1497,Bluetooth Speaker,Electronics,1,235.99,235.99,Australia,Email,PayPal
244,2025-07-18,1327,LED Desk Lamp,Furniture,2,388.54,777.08,Europe,Organic Search,Credit Card
245,2024-05-07,1265,Running Shoes,Fashion,3,99.04,297.12,Asia,Meta Ads,Apple Pay
246,2025-06-15,1458,Laptop Backpack,Accessories,1,140.29,140.29,Australia,Email,PayPal
247,2025-10-02,1155,LED Desk Lamp,Furniture,5,64.85,324.25,Europe,Referral,PayPal
248,2024-06-24,1337,LED Desk Lamp,Furniture,5,182.06,910.3,Australia,Google Ads,Credit Card
249,2024-03-24,1023,LED Desk Lamp,Furniture,3,332.54,997.62,Australia,Organic Search,Credit Card
250,2025-05-24,1455,Office Chair,Furniture,3,328.12,984.36,Asia,Organic Search,PayPal
251,2025-12-02,1207,Laptop Backpack,Accessories,4,55.03,220.12,North America,Meta Ads,Bank Transfer
252,2025-03-01,1247,Denim Jacket,Fashion,2,183.29,366.58,Europe,Email,Apple Pay
253,2024-12-19,1499,Water Bottle,Sports,2,385.12,770.24,Australia,Referral,Credit Card
254,2024-11-22,1123,Denim Jacket,Fashion,1,148.39,148.39,Europe,Meta Ads,Credit Card
255,2024-02-21,1148,Water Bottle,Sports,5,220.7,1103.5,Europe,Email,Apple Pay
256,2024-07-13,1390,Running Shoes,Fashion,4,498.07,1992.28,Africa,Organic Search,Apple Pay
257,2025-05-24,1011,Smart Watch,Electronics,4,262.61,1050.44,Europe,Meta Ads,Apple Pay
258,2024-02-19,1025,Laptop Backpack,Accessories,4,306.81,1227.24,Africa,Email,Credit Card
259,2024-04-20,1220,Running Shoes,Fashion,3,369.2,1107.6,Africa,Email,Credit Card
260,2025-02-14,1026,LED Desk Lamp,Furniture,5,113.43,567.15,Australia,Email,Credit Card
261,2025-01-30,1258,Denim Jacket,Fashion,5,154.27,771.35,Australia,Referral,Credit Card
262,2024-05-11,1499,Smart Watch,Electronics,4,199.14,796.56,Asia,Referral,Apple Pay
263,2024-05-27,1101,LED Desk Lamp,Furniture,5,212.67,1063.35,North America,Google Ads,Credit Card
264,2024-05-20,1365,Bluetooth Speaker,Electronics,4,269.28,1077.12,Europe,Referral,PayPal
265,2024-12-01,1476,LED Desk Lamp,Furniture,3,98.0,294.0,Australia,Email,Apple Pay
266,2025-06-03,1424,Office Chair,Furniture,5,255.13,1275.65,Australia,Email,Bank Transfer
267,2024-01-18,1188,Bluetooth Speaker,Electronics,1,490.35,490.35,Australia,Email,Credit Card
268,2025-09-03,1242,Laptop Backpack,Accessories,5,297.26,1486.3,North America,Referral,Bank Transfer
269,2024-06-23,1268,LED Desk Lamp,Furniture,4,90.93,363.72,Europe,Google Ads,Credit Card
270,2024-07-14,1009,Denim Jacket,Fashion,3,221.01,663.03,Africa,Meta Ads,Bank Transfer
271,2025-05-28,1396,LED Desk Lamp,Furniture,4,438.95,1755.8,North America,Meta Ads,PayPal
272,2025-07-28,1166,Denim Jacket,Fashion,5,200.88,1004.4,Europe,Organic Search,Apple Pay
